,Close,dates
1222,27.103004,2007-10-08
1223,27.296137,2007-10-09
1224,27.088697,2007-10-10
1225,26.67382000000001,2007-10-11
1226,26.902718,2007-10-12
1227,27.310444,2007-10-15
1228,27.39628,2007-10-16
1229,27.446352,2007-10-17
1230,27.489271,2007-10-18
1231,26.680973,2007-10-19
1232,26.180258,2007-10-22
1233,26.70243300000001,2007-10-23
1234,26.39485,2007-10-24
1235,25.922747,2007-10-25
1236,25.772532,2007-10-26
1237,25.772532,2007-10-29
1238,25.65093,2007-10-30
1239,26.359085,2007-10-31
1240,25.937054,2007-11-01
1241,25.765379,2007-11-02
1242,25.529327,2007-11-05
1243,25.844063,2007-11-06
1244,25.100143,2007-11-07
1245,25.02146,2007-11-08
1246,23.884121,2007-11-09
1247,23.969957,2007-11-12
1248,24.256081,2007-11-13
1249,24.46352000000001,2007-11-14
1250,24.105865,2007-11-15
1251,26.266094,2007-11-16
1252,25.608011,2007-11-19
1253,26.115879,2007-11-20
1254,26.251789,2007-11-21
1255,26.402002000000003,2007-11-23
1256,26.137339,2007-11-26
1257,26.344778,2007-11-27
1258,27.145924,2007-11-28
1259,26.802574,2007-11-29
1260,27.060085,2007-11-30
1261,27.002861,2007-12-03
1262,26.809729,2007-12-04
1263,27.06724,2007-12-05
1264,27.145924,2007-12-06
1265,27.188841,2007-12-07
1266,27.103004,2007-12-10
1267,26.087267,2007-12-11
1268,26.530758,2007-12-12
1269,26.437769,2007-12-13
1270,25.972818,2007-12-14
1271,25.3505,2007-12-17
1272,25.114449,2007-12-18
1273,25.393419,2007-12-19
1274,26.051502,2007-12-20
1275,26.60228900000001,2007-12-21
1276,26.452074,2007-12-24
1277,26.802574,2007-12-26
1278,26.566525,2007-12-27
1279,26.816881,2007-12-28
1280,26.280401,2007-12-31
1281,25.965666,2008-01-02
1282,25.708155,2008-01-03
1283,24.871244,2008-01-04
1284,25.278971,2008-01-07
1285,25.243204,2008-01-08
1286,25.307583,2008-01-09
1287,26.444921,2008-01-10
1288,25.751074,2008-01-11
1289,26.20887,2008-01-14
1290,25.743919,2008-01-15
1291,25.515022,2008-01-16
1292,25.286123,2008-01-17
1293,24.077253,2008-01-18
1294,23.490702,2008-01-22
1295,23.912733,2008-01-23
1296,24.034334,2008-01-24
1297,23.741058,2008-01-25
1298,23.97711,2008-01-28
1299,23.948498,2008-01-29
1300,24.449213,2008-01-30
1301,24.220314,2008-01-31
1302,24.6495,2008-02-01
1303,24.6495,2008-02-04
1304,24.027182,2008-02-05
1305,24.055794,2008-02-06
1306,23.190271,2008-02-07
1307,22.889843,2008-02-08
1308,22.7897,2008-02-11
1309,22.782547,2008-02-12
1310,23.376251,2008-02-13
1311,22.560801,2008-02-14
1312,21.924177,2008-02-15
1313,22.124464,2008-02-19
1314,22.55364800000001,2008-02-20
1315,22.610872,2008-02-21
1316,22.467812,2008-02-22
1317,22.532188,2008-02-25
1318,22.796852,2008-02-26
1319,22.911303,2008-02-27
1320,22.639484,2008-02-28
1321,21.895565,2008-02-29
1322,21.988556,2008-03-03
1323,21.824034,2008-03-04
1324,21.888412,2008-03-05
1325,21.55937,2008-03-06
1326,21.509298,2008-03-07
1327,21.130186,2008-03-10
1328,21.702433,2008-03-11
1329,21.766809,2008-03-12
1330,21.816881,2008-03-13
1331,21.201717,2008-03-14
1332,21.223175,2008-03-17
1333,21.795422,2008-03-18
1334,20.994278,2008-03-19
1335,21.216022,2008-03-20
1336,21.709585,2008-03-24
1337,21.688126,2008-03-25
1338,21.452074,2008-03-26
1339,20.901287,2008-03-27
1340,21.158798,2008-03-28
1341,21.337626,2008-03-31
1342,22.095852,2008-04-01
1343,22.339056,2008-04-02
1344,22.510729,2008-04-03
1345,22.682404,2008-04-04
1346,22.58226,2008-04-07
1347,22.539341,2008-04-08
1348,22.217453,2008-04-09
1349,22.131617,2008-04-10
1350,21.552217,2008-04-11
1351,21.638054,2008-04-14
1352,20.851215,2008-04-15
1353,21.74535,2008-04-16
1354,21.523605,2008-04-17
1355,22.153076,2008-04-18
1356,21.93133,2008-04-21
1357,21.566525,2008-04-22
1358,22.203148,2008-04-23
1359,22.489271,2008-04-24
1360,22.55364800000001,2008-04-25
1361,21.93133,2008-04-28
1362,21.8598,2008-04-29
1363,21.609442,2008-04-30
1364,22.246065,2008-05-01
1365,22.939915,2008-05-02
1366,22.618025,2008-05-05
1367,22.761087,2008-05-06
1368,22.711016,2008-05-07
1369,22.875536,2008-05-08
1370,22.818312,2008-05-09
1371,23.154507,2008-05-12
1372,23.054363,2008-05-13
1373,23.268955,2008-05-14
1374,25.278971,2008-05-15
1375,25.100143,2008-05-16
1376,25.922747,2008-05-19
1377,25.479256,2008-05-20
1378,25.53648,2008-05-21
1379,25.765379,2008-05-22
1380,25.701002,2008-05-23
1381,26.051502,2008-05-27
1382,26.430614,2008-05-28
1383,26.55937,2008-05-29
1384,26.74535,2008-05-30
1385,26.39485,2008-06-02
1386,26.380543,2008-06-03
1387,26.459227,2008-06-04
1388,26.93133,2008-06-05
1389,26.115879,2008-06-06
1390,26.409157,2008-06-09
1391,26.287554,2008-06-10
1392,25.929899,2008-06-11
1393,26.387697,2008-06-12
1394,26.688126,2008-06-13
1395,26.716738,2008-06-16
1396,26.759657,2008-06-17
1397,26.738197,2008-06-18
1398,27.110157,2008-06-19
1399,26.874105,2008-06-20
1400,26.523605,2008-06-23
1401,26.201717,2008-06-24
1402,26.423462,2008-06-25
1403,25.53648,2008-06-26
1404,25.457796,2008-06-27
1405,25.422031,2008-06-30
1406,25.443491,2008-07-01
1407,25.293276,2008-07-02
1408,24.842632,2008-07-03
1409,25.085836,2008-07-07
1410,25.701002,2008-07-08
1411,25.100143,2008-07-09
1412,25.300428,2008-07-10
1413,25.529327,2008-07-11
1414,25.135908,2008-07-14
1415,24.914164000000003,2008-07-15
1416,25.121603,2008-07-16
1417,25.135908,2008-07-17
1418,25.443491,2008-07-18
1419,25.271816,2008-07-21
1420,25.128756,2008-07-22
1421,25.751074,2008-07-23
1422,25.529327,2008-07-24
1423,25.901287,2008-07-25
1424,25.629471,2008-07-28
1425,25.844063,2008-07-29
1426,26.258942,2008-07-30
1427,25.793991,2008-07-31
1428,25.65093,2008-08-01
1429,25.278971,2008-08-04
1430,25.815451,2008-08-05
1431,26.20887,2008-08-06
1432,25.958511,2008-08-07
1433,26.466381,2008-08-08
1434,26.466381,2008-08-11
1435,26.444921,2008-08-12
1436,26.144491,2008-08-13
1437,25.879827,2008-08-14
1438,26.015738,2008-08-15
1439,25.593706,2008-08-18
1440,25.214592,2008-08-19
1441,24.892704,2008-08-20
1442,24.771101,2008-08-21
1443,25.307583,2008-08-22
1444,24.878397,2008-08-25
1445,24.828325,2008-08-26
1446,24.849785,2008-08-27
1447,25.400572,2008-08-28
1448,24.86409200000001,2008-08-29
1449,24.670958,2008-09-02
1450,24.184549,2008-09-03
1451,23.018599,2008-09-04
1452,23.454935,2008-09-05
1453,23.583691,2008-09-08
1454,22.93276,2008-09-09
1455,22.811159,2008-09-10
1456,22.846924,2008-09-11
1457,22.925608,2008-09-12
1458,22.052933,2008-09-15
1459,22.331903,2008-09-16
1460,21.280401,2008-09-17
1461,22.439199,2008-09-18
1462,23.540773,2008-09-19
1463,22.260372,2008-09-22
1464,22.074392,2008-09-23
1465,21.988556,2008-09-24
1466,22.017168,2008-09-25
1467,22.124464,2008-09-26
